entity:borrell_id	BioSample	downsampled	fqs
borrell_01	SAMEA4791119	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791119_ERR2704695_1.fastq",  "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791119_ERR2704695_2.fastq",  "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791119_ERR2704710_1.fastq",  "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791119_ERR2704710_2.fastq",  "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791119_ERR2704711_1.fastq",  "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791119_ERR2704711_2.fastq"]
borrell_02 	SAMEA4791118	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791118_ERR2704694_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791118_ERR2704694_2.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791118_ERR2704709_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791118_ERR2704709_2.fastq"]
borrell_03 	SAMEA4791117	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791117_ERR2704693_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791117_ERR2704693_2.fastq"]
borrell_04 	SAMEA4791116	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791116_ERR2704692_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791116_ERR2704692_2.fastq"]
borrell_05 	SAMEA4791115	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791115_ERR2704691_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791115_ERR2704691_2.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791115_ERR2704707_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791115_ERR2704707_2.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791115_ERR2704708_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791115_ERR2704708_2.fastq"]
borrell_06 	SAMEA4791114	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791114_ERR2704690_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791114_ERR2704690_2.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791114_ERR2704706_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791114_ERR2704706_2.fastq"]
borrell_07 	SAMEA4791113	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791113_ERR2704689_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791113_ERR2704689_2.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791113_ERR2704705_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791113_ERR2704705_2.fastq"]
borrell_08 	SAMEA4791112	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791112_ERR2704688_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791112_ERR2704688_2.fastq"]
borrell_09 	SAMEA4791111	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791111_ERR2704687_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791111_ERR2704687_2.fastq"]
borrell_10 	SAMEA4791110	N	["gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791110_ERR2704686_1.fastq", "gs://ucsc-pathogen-genomics-public/tb/fq/Borrell/SAMEA4791110_ERR2704686_2.fastq"]
